
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
2.5,4.07,7.25,6.89,0.96,14.02,132.81,0.53,37.74,28.2,3.2,8.26,filling
3.2,4.09,6.94,8.32,0.61,48.69,9.98,16.49,17.82,0.8,5.71,1.55,full
2.6,4.1,6.56,6.77,0.78,30.48,33.57,10.37,12.21,1,3.81,1.22,filling
1.9,4.1,7.36,4.39,0.4,35.42,17.45,11.34,18.44,3.4,7.66,3.96,filling
3.2,4.11,6.77,6.77,0.72,8.48,68.01,2.32,11.27,1,4.69,3,full
2.5,4.11,7.04,2.45,8.83,24.01,7.46,0.93,15.73,2.8,10.23,2.99,dry
0.8,4.12,7.18,5.88,0.97,48.45,33.49,25.76,29.96,4,4.05,8.4,filling
0.9,4.12,7.05,8.24,0.83,34.68,34.34,18.96,33.21,5.2,7.14,7.22,filling
1.9,4.12,7.47,5.76,0.81,5.21,1.2,3.27,15.4,4.2,12.14,8.21,dry
2.6,4.13,7.5,10.08,0.67,40.88,6.22,3.27,26.03,1.6,5,2.23,emptying
2.8,4.13,6.69,3.92,0.8,7.37,30.13,1.63,11.96,1.4,7.38,13.42,full
2.4,4.14,6.79,8.16,0.78,158.76,13.54,8.44,21.24,1,4.76,2.83,emptying
2.1,4.14,7.12,5.68,0.63,86.54,19.96,1.55,16.42,8.8,11.22,4.54,dry
2.5,4.16,7.15,4.8,0.43,67.86,13.54,2.92,9.1,2.6,2.86,1.45,dry
1.5,4.17,7.03,4.32,0.44,44.47,13.77,0.59,24.98,4.4,12.79,20.6,dry
3.2,4.18,7.03,3.84,0.36,16.24,15.25,1.28,9.76,1.4,5.95,10.74,filling
3.5,4.18,7.27,4.39,0.08,21.79,75.68,1.97,11.11,3.2,3.09,1.28,filling
2.5,4.18,7.14,4.56,0.33,42.58,18.15,3.27,7.1,2.4,4.05,1.39,dry
1.5,4.19,7.62,4.39,0.84,35.98,53.02,26.28,75.64,1,4.63,4.12,full
0.8,4.2,7.25,5.88,1.06,111.67,38.45,29.15,37.54,4.2,6.8,8.34,filling
3.7,4.2,6.75,6.89,0.46,26.54,57.54,5.33,18.72,0.8,2.62,1.4,emptying
