Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Cluster
45.652174,86.857143,72.625698,45.615228,2.350637,12.429532,20.746445,0,2.252169,6.21118,29.265192,3.221866,C1
56.521739,34.171429,53.631285,34.194426,9.20666,3.192068,65.882701,8.654163,19.300351,6.21118,16.781083,36.478852,C1
34.782609,68.8,22.346369,57.919782,5.386876,4.010484,9.241706,11.00691,10.790105,9.31677,22.984999,4.748817,C1
56.521739,5.828571,39.664804,56.492182,57.296768,59.432796,13.631517,100,68.174266,4.347826,11.924739,5.115285,C1
56.521739,68.457143,62.569832,5.778382,1.762977,6.211057,8.062796,1.233959,7.467233,2.484472,18.764302,17.071309,C1
50,46.285714,24.581006,40.244731,6.464251,0.462368,33.513033,30.717341,15.765184,3.10559,3.635901,4.199114,C1
30.434783,64.228571,55.865922,26.104691,2.44858,19.122738,24.472749,3.537348,9.433266,19.875776,21.789982,10.780272,C1
8.695652,75.428571,50.27933,35.146159,19.784525,2.967066,8.945498,64.445541,39.643714,40.372671,17.54386,16.063521,C1
36.956522,45.6,45.810056,32.019035,5.974535,21.397488,11.824645,2.254031,13.614547,26.708075,28.527841,6.764392,C1
58.695652,3.542857,28.49162,50.509857,29.285015,45.171101,2.085308,30.306022,23.730847,5.590062,26.392067,4.168575,C1
52.173913,41.714286,23.463687,39.632903,6.660137,12.65948,19.822275,24.712076,15.192911,3.726708,13.907958,3.985341,C1
8.695652,77.6,62.011173,52.209381,5.386876,13.789437,52.174171,3.948667,5.325826,34.782609,6.661581,45.029776,C1
28.26087,60.457143,19.553073,54.452753,8.716944,16.321333,6.86019,22.60612,17.777368,12.42236,14.51818,7.848526,C1
2.173913,78.057143,72.067039,40.924541,11.459354,7.583325,29.004739,6.367226,34.179435,99.378882,13.907958,63.505879,C1
19.565217,66.742857,41.340782,47.790619,9.010774,2.096726,2.742891,20.138203,31.761122,17.391304,26.6209,65.33822,C1
13.043478,66.171429,40.223464,59.347383,8.716944,36.982,2.825829,25.781507,20.084918,15.52795,29.392321,20.537487,C1
26.086957,81.142857,91.061453,19.510537,0.979432,3.192068,1.380332,2.385653,27.090641,26.708075,9.07704,23.576118,C1
34.782609,100,60.335196,49.422162,9.598433,5.365444,15.278436,38.976637,67.038951,14.906832,7.271803,11.681173,C1
78.26087,53.6,54.748603,9.17743,1.665034,2.37118,2.772512,1.809806,4.744323,4.347826,19.374523,16.826996,C1
56.521739,56.685714,42.458101,31.475187,2.938296,11.43062,27.316351,11.434682,12.654606,7.453416,16.781083,5.298519,C1
45.652174,62.171429,57.541899,32.834806,15.083252,4.015429,48.400474,15.547878,47.646299,83.850932,17.137046,12.154527,C1
47.826087,80.114286,74.301676,24.745071,0.685602,11.697656,4.887441,3.520895,14.629869,3.10559,19.959319,17.269812,C1
56.521739,68.228571,74.860335,10.740993,1.762977,3.740975,8.062796,1.233959,6.221156,3.726708,19.959319,17.010231,C1
67.391304,66.742857,56.424581,40.244731,1.860921,2.920087,33.601896,2.385653,6.645745,11.801242,11.212815,28.630325,C1
63.043478,78.742857,54.189944,17.335146,1.077375,5.936604,2.328199,1.809806,7.596456,6.21118,13.679125,4.855703,C1
65.217391,62.971429,62.011173,44.255608,1.371205,6.211057,21.386256,32.576505,6.331918,3.10559,10.882278,16.429989,C1
52.173913,52.457143,62.011173,33.650578,5.876592,14.795767,21.066351,15.251728,1.753738,1.242236,9.07704,3.511987,C1
76.086957,70.857143,29.050279,40.244731,4.113614,16.07655,6.172986,1.941428,8.288721,0.621118,7.856598,1.969766,C1
43.478261,33.6,21.22905,48.878314,8.031342,37.545742,7.588863,14.659427,13.180727,3.10559,8.466819,5.313788,C1
45.652174,73.6,40.782123,9.925221,1.567091,3.740975,6.386256,10.315893,6.331918,6.832298,43.579964,3.206596,C1
39.130435,62.057143,62.569832,35.825969,3.036239,10.327861,14.561611,12.717999,16.771276,11.180124,53.2418,22.094976,C1
67.391304,59.657143,27.932961,35.825969,3.036239,1.439027,4.117299,4.063837,13.753,7.453416,12.102721,2.641625,C1
32.608696,70.057143,82.681564,28.755948,3.819785,2.104144,0.56872,4.508062,7.458003,11.801242,29.672006,8.337151,C1
34.782609,51.2,44.134078,21.685928,4.407444,20.752151,22.796209,0.575847,17.749677,9.937888,27.231121,12.169797,C1
23.913043,64.342857,47.486034,32.562882,5.582762,5.387697,13.335308,0.674564,26.269153,11.801242,50.826341,11.803329,C1
8.695652,84.685714,69.273743,52.209381,9.402547,4.937692,23.67891,35.850609,42.228171,21.73913,10.602593,31.745305,C1
34.782609,71.2,65.921788,48.878314,2.44858,22.398873,6.558057,8.078315,7.282629,8.695652,23.59522,4.611391,C1
13.043478,75.428571,46.927374,23.24949,11.263467,3.459104,4.300948,46.972688,42.228171,39.130435,14.51818,10.749733,C1
