Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Cluster
6.521739,56.25,64.914286,50.837989,40.924541,36.229508,23.208723,18.805093,30.612245,62.222222,15.873016,14.545455,6.80447,21.806872,51.201053,50.286136,70.186335,9.687262,48.999847,C1
39.130435,73.4375,14.628571,20.670391,65.805574,16.885246,18.224299,20.666014,34.693878,45.833333,42.857143,23.636364,15.099891,32.890995,32.13228,66.96511,13.043478,12.22985,7.665292,C1
52.173913,56.25,48.685714,20.111732,32.019035,34.754098,11.05919,5.093046,38.77551,32.5,22.222222,18.181818,7.650084,28.2109,17.308325,8.399483,3.726708,6.05136,1.786532,C1
56.521739,75,48.457143,26.815642,36.913664,20.491803,16.35514,2.742409,46.938776,51.388889,38.095238,18.181818,11.927604,8.489336,16.765383,10.587041,2.484472,11.492499,1.86288,C1
56.521739,45.3125,56.685714,42.458101,31.475187,21.147541,14.797508,2.938296,51.020408,51.388889,25.396825,7.272727,11.43062,27.316351,11.434682,12.654606,7.453416,16.781083,5.298519,C1
34.782609,73.4375,76.457143,27.374302,25.3569,16.065574,21.339564,1.371205,30.612245,89.166667,38.095238,23.636364,22.124419,11.214455,12.717999,9.497877,15.52795,50.21612,3.832646,C1
41.304348,57.8125,32.228571,29.050279,22.093814,29.836066,5.919003,0.587659,71.428571,16.388889,17.460317,14.545455,11.423202,1.25,10.398157,11.205464,7.453416,9.07704,16.353642,C1
30.434783,73.4375,63.314286,54.748603,26.104691,19.344262,28.971963,2.546523,63.265306,38.055556,36.507937,18.181818,15.329839,46.374408,2.994406,8.860993,8.074534,15.128401,8.97847,C1
45.652174,84.375,62.285714,39.106145,39.089055,11.803279,25.545171,4.113614,55.102041,32.5,36.507937,21.818182,17.540303,0.556872,5.116815,9.433266,5.590062,13.323163,2.702703,C1
47.826087,57.8125,8.685714,22.346369,32.834806,36.557377,5.451713,49.265426,30.612245,48.611111,26.984127,23.636364,34.860548,76.214455,35.850609,41.942034,3.726708,17.137046,6.733852,C1
28.26087,70.3125,61.828571,48.044693,39.632903,25.409836,27.102804,6.75808,59.183673,32.5,53.968254,14.545455,4.853625,1.694313,26.307996,16.918959,7.453416,40.732265,8.566193,C1
39.130435,75,75.771429,43.575419,31.475187,32.295082,16.978193,1.958864,34.693878,59.444444,22.222222,14.545455,4.838789,2.547393,0.674564,8.547166,9.937888,36.918383,5.512292,C1
34.782609,62.5,67.771429,44.692737,46.906866,24.098361,23.987539,2.742409,26.530612,21.666667,9.52381,12.727273,2.376125,5.580569,16.370517,15.14676,8.074534,20.56954,4.64193,C1
8.695652,39.0625,62.742857,33.519553,20.870156,30,25.077882,15.181195,38.77551,38.055556,26.984127,27.272727,14.454554,11.759479,43.320171,38.766845,11.801242,3.02568,19.270118,C1
32.608696,46.875,67.314286,30.167598,40.244731,41.311475,26.323988,8.619001,30.612245,46.111111,26.984127,32.727273,2.662941,55.047393,15.366897,26.776814,7.142857,3.635901,11.894946,C1
28.26087,71.875,60.457143,19.553073,54.452753,12.459016,14.174455,8.716944,46.938776,43.333333,30.15873,16.363636,16.321333,6.86019,22.60612,17.777368,12.42236,14.51818,7.848526,C1
50,73.4375,66.628571,37.988827,21.14208,23.770492,21.183801,8.521058,30.612245,35.277778,31.746032,21.818182,5.184947,3.921801,15.185916,10.014768,3.726708,7.271803,3.237135,C1
56.521739,51.5625,39.771429,57.541899,34.194426,33.606557,17.757009,4.995103,59.183673,32.5,17.460317,21.818182,2.373652,1.475118,27.673577,12.977663,0.621118,14.51818,3.496717,C1
41.304348,70.3125,87.428571,90.502793,17.878994,24.262295,20.404984,2.938296,75.510204,89.166667,7.936508,5.454545,11.151221,0.746445,10.579138,18.986524,14.906832,9.50928,10.352726,C1
13.043478,59.375,67.314286,35.75419,28.484024,18.360656,3.738318,10.577865,63.265306,48.611111,23.809524,29.090909,4.289882,37.973934,16.617308,37.022337,19.875776,33.282482,31.59261,C1
39.130435,62.5,3.314286,13.407821,33.650578,66.229508,21.495327,25.269344,26.530612,100,20.634921,18.181818,23.496687,3.216825,7.502468,44.304966,23.602484,15.967455,17.132387,C1
67.391304,73.4375,58.971429,37.988827,21.685928,14.42623,11.52648,0.881489,34.693878,78.333333,33.333333,21.818182,7.308872,1.990521,8.292201,20.251061,6.832298,16.933638,15.880287,C1
8.695652,45.3125,65.828571,40.223464,33.378654,17.868852,17.757009,10.284035,34.693878,62.222222,23.809524,23.636364,5.66215,19.046209,18.904245,22.46631,22.981366,17.289601,34.951901,C1
58.695652,67.1875,61.371429,65.921788,42.895989,35.081967,18.691589,7.443683,55.102041,46.111111,26.984127,21.818182,9.128672,5.96564,18.887792,9.728632,1.242236,3.02568,2.504199,C1
26.086957,45.3125,66.171429,36.871508,53.297077,41.639344,33.64486,11.165524,26.530612,21.666667,61.904762,40,9.405598,8.471564,10.398157,40.769799,9.937888,23.59522,6.688044,C1
23.913043,67.1875,45.942857,40.782123,22.773623,37.704918,26.94704,4.113614,30.612245,65,57.142857,30.909091,10.99545,8.157583,0.674564,21.515599,13.043478,32.519705,31.287219,C1
67.391304,57.8125,46.057143,54.189944,23.24949,13.442623,27.725857,0.587659,55.102041,48.611111,20.634921,10.909091,5.387697,44.834123,2.945048,8.71331,9.31677,7.856598,1.786532,C1
67.391304,60.9375,54.628571,58.659218,23.24949,13.278689,27.725857,0.391773,59.183673,51.388889,20.634921,10.909091,5.113243,28.785545,5.824284,7.162636,10.559006,7.856598,1.725454,C1
41.304348,62.5,65.257143,53.631285,26.104691,43.278689,23.05296,2.546523,34.693878,18.888889,30.15873,25.454545,2.648106,66.93128,3.948667,4.707403,6.21118,19.374523,2.992823,C1
34.782609,65.625,68.571429,23.463687,30.387492,55.737705,20.249221,15.083252,71.428571,8.055556,25.396825,12.727273,6.485511,8.317536,1.233959,10.891637,8.074534,25.425884,4.519774,C1
52.173913,35.9375,22.742857,51.955307,43.439837,33.770492,13.707165,30.950049,51.020408,29.722222,6.349206,18.181818,1.832163,21.066351,29.944061,18.303489,22.360248,0,27.118644,C1
71.73913,51.5625,82.857143,45.251397,40.244731,37.377049,26.323988,4.799216,63.265306,35.277778,28.571429,16.363636,7.155573,5.432464,17.308325,10.014768,8.695652,8.466819,2.107192,C1
8.695652,54.6875,54.742857,55.865922,33.378654,39.344262,17.757009,9.304603,59.183673,43.333333,15.873016,30.909091,2.526951,15.082938,38.976637,28.115193,14.906832,12.102721,12.429379,C1
71.73913,50,10.4,25.698324,40.244731,46.557377,26.323988,76.885406,42.857143,35.277778,11.111111,29.090909,3.73603,8.619668,15.811122,14.509876,1.863354,8.110857,21.468927,C1
15.217391,48.4375,50.742857,64.24581,42.352141,51.803279,17.757009,18.70715,38.77551,30.277778,36.507937,30.909091,15.144397,40.124408,9.032577,29.536644,20.496894,27.231121,82.745457,C1
10.869565,59.375,56.685714,40.782123,48.878314,39.672131,28.34891,6.464251,59.183673,16.388889,15.873016,30.909091,8.57482,25.716825,27.163541,31.696511,13.043478,18.764302,10.429073,C1
34.782609,71.875,55.771429,44.692737,59.211421,33.934426,36.292835,8.619001,18.367347,35.277778,57.142857,30.909091,72.475522,8.898104,59.312274,20.435665,9.31677,16.933638,5.542831,C1
39.130435,70.3125,62.057143,62.569832,35.825969,30.819672,15.88785,3.036239,30.612245,62.222222,38.095238,29.090909,10.327861,14.561611,12.717999,16.771276,11.180124,53.2418,22.094976,C1
45.652174,46.875,9.6,5.027933,37.457512,35.409836,21.183801,36.630754,63.265306,27.222222,20.634921,23.636364,27.121452,13.151659,35.850609,21.810965,28.354037,14.314772,16.063521,C1
56.521739,57.8125,54.628571,48.603352,48.878314,22.295082,21.495327,8.814887,30.612245,35.277778,93.650794,36.363636,14.79824,25.746445,18.361303,10.014768,3.10559,4.246123,3.649412,C1
26.086957,78.125,81.142857,91.061453,19.510537,41.967213,4.361371,0.979432,55.102041,40.555556,9.52381,5.454545,3.192068,1.380332,2.385653,27.090641,26.708075,9.07704,23.576118,C1
34.782609,56.25,42.628571,41.340782,21.685928,100,53.582555,9.108717,30.612245,48.611111,57.142857,25.454545,26.241222,20.716825,1.760448,22.318627,25.465839,26.392067,15.223698,C1
47.826087,65.625,69.142857,59.217877,44.255608,36.885246,13.707165,4.799216,51.020408,43.333333,65.079365,25.454545,21.451884,16.350711,16.238894,12.313088,0.621118,6.661581,2.443121,C1
52.173913,48.4375,52.457143,62.011173,33.650578,34.098361,17.757009,5.876592,51.020408,24.444444,11.111111,18.181818,14.795767,21.066351,15.251728,1.753738,1.242236,9.07704,3.511987,C1
45.652174,67.1875,45.828571,47.486034,26.03671,33.770492,18.691589,4.015671,63.265306,48.611111,33.333333,21.818182,16.778756,8.021327,4.508062,6.85804,7.453416,7.271803,2.046114,C1
45.652174,65.625,76.228571,58.659218,21.14208,35.081967,18.691589,5.680705,63.265306,21.666667,25.396825,14.545455,5.432203,8.062796,12.01053,12.313088,3.726708,9.687262,3.802107,C1
34.782609,32.8125,69.828571,67.039106,20.190347,11.47541,7.009346,2.938296,22.44898,73.055556,25.396825,10.909091,4.838789,18.785545,2.945048,14.943696,26.086957,15.738622,2.47366,C1
21.73913,56.25,82.514286,77.653631,28.687967,39.508197,33.64486,6.366308,44.897959,58.055556,22.222222,12.727273,18.68015,8.637441,23.165515,16.660513,18.012422,19.374523,9.833562,C1
60.869565,75,50.857143,89.944134,14.343984,20,28.34891,3.428012,51.020408,35.277778,28.571429,20,3.192068,6.344787,1.233959,7.162636,1.242236,7.856598,7.833257,C1
34.782609,71.875,70.171429,91.620112,47.246771,33.934426,37.538941,8.031342,51.020408,13.611111,46.031746,25.454545,18.405697,1.060427,40.111879,20.435665,4.968944,15.738622,3.893724,C1
60.869565,70.3125,60.685714,37.988827,17.743032,16.393443,29.595016,2.350637,54.336735,35.833333,41.269841,20,5.387697,0.900474,0.575847,6.848809,2.484472,24.205441,0.946709,C1
69.565217,64.0625,61.142857,54.189944,44.255608,23.442623,13.707165,3.721841,75.510204,62.222222,7.936508,5.454545,2.096726,42.434834,15.482066,30.062765,4.813665,11.645055,7.43625,C1
21.73913,43.75,59.542857,100,33.378654,3.442623,17.757009,7.05191,34.693878,56.944444,15.873016,14.545455,8.681139,7.399289,18.427114,25.21691,15.52795,12.102721,8.123378,C1
45.652174,46.875,84.342857,87.150838,40.244731,36.885246,26.323988,1.860921,51.020408,3.055556,14.285714,10.909091,3.740975,9.028436,3.520895,4.356655,6.21118,16.348843,1.86288,C1
39.130435,70.3125,82.4,52.513966,23.24949,19.344262,27.725857,3.721841,55.102041,62.222222,7.936508,3.636364,3.192068,5.870853,2.385653,13.29149,6.832298,16.933638,6.459001,C1
58.695652,64.0625,9.485714,13.96648,45.07138,31.311475,20.404984,4.015671,34.693878,67.5,49.206349,41.818182,4.289882,14.158768,0.674564,9.811704,6.832298,11.390796,4.764086,C1
