46,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
47,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
48,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
49,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
50,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
51,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
52,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
53,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
54,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
55,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 10.0],}
56,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
57,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
58,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
59,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
60,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
61,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
62,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
63,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
64,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
65,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
66,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
67,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
68,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
69,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
70,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.333334],}
71,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],}
72,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],}
73,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],}
74,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],}
75,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 5.5555553],}
